domain,rule_id,severity,context,description,rationale
ux,loading-states,warning,Async UI operations,"Show loading indicators for any operation longer than 200ms","Users perceive unresponsive UIs as broken without feedback"
ux,empty-states,warning,List and collection views,"Design empty states with guidance, not a blank screen","Empty states are a first-impression teaching moment"
ux,error-recovery,warning,Error UI,"Offer a clear retry or recovery action on every error state","Dead-end errors force users to reload or abandon the task"
ux,optimistic-updates,info,Fast-feeling mutations,"Apply optimistic UI updates where safe, with rollback on failure","Optimistic UI makes apps feel instantaneous"
ux,form-inline-validation,warning,Form inputs,"Validate fields on blur and show inline errors, not only on submit","Late feedback forces users to retrace their steps"
ux,undo-destructive,warning,Destructive actions,"Offer undo for delete and archive actions instead of confirm dialogs","Undo is faster and less cognitively demanding than confirmation"
ux,progress-long-tasks,warning,Tasks longer than 2 seconds,"Show determinate progress for long tasks when possible","Progress bars make waits feel shorter and set expectations"
ux,mobile-touch-targets,warning,Mobile interactive elements,"Minimum touch target of 44x44 px per Apple HIG","Smaller targets cause mistaps on touchscreens"
ux,consistent-navigation,warning,Application shell,"Keep primary navigation consistent across pages","Shifting navigation disorients users and breaks muscle memory"
ux,autofocus-primary,info,Forms and dialogs,"Autofocus the primary input when a form or modal opens","Autofocus saves a click and signals intent"
ux,dont-break-back,error,SPA navigation,"Never break browser back/forward — sync URL with app state","Back button is the most-used navigation control on the web"
ux,readable-line-length,warning,Long-form text,"Keep prose line length between 45 and 75 characters","Over-wide lines reduce reading speed and comprehension"
ux,clear-cta-hierarchy,warning,Buttons on a page,"One primary action per view; secondary actions visually subordinate","Multiple primary CTAs paralyze decision making"
