domain,rule_id,severity,context,description,rationale
security,input-validation,error,User-facing endpoints,"Validate and sanitize every user input at the boundary","Unvalidated input is the root of injection and deserialization attacks"
security,parameterized-sql,error,SQL queries,"Use parameterized queries or ORM bindings, never concatenation","Concatenated SQL enables classic injection attacks"
security,no-hardcoded-secrets,error,Source code and config,"Never commit secrets, tokens, or keys — use env vars or secret managers","Committed secrets persist in git history and leak via CI"
security,password-hashing,error,Authentication flows,"Hash passwords with bcrypt, scrypt, or argon2id — never MD5 or SHA-1","Fast hashes allow offline cracking of leaked databases"
security,jwt-short-lived,warning,JWT access tokens,"Use short-lived access tokens (<= 15 min) with refresh rotation","Short TTL limits the blast radius of a stolen token"
security,csrf-protection,error,Cookie-authenticated endpoints,"Enforce CSRF tokens or SameSite=strict cookies on state-changing requests","Cookie auth is vulnerable to CSRF without explicit protection"
security,xss-escape,error,HTML rendering,"Escape user-controlled content in HTML and attribute contexts","Unescaped output is the primary XSS vector"
security,csp-headers,warning,Web applications,"Set a strict Content-Security-Policy header","CSP mitigates XSS even when escaping fails"
security,hsts,error,HTTPS services,"Send Strict-Transport-Security with includeSubDomains","HSTS prevents SSL stripping downgrade attacks"
security,rbac,warning,Authorization checks,"Enforce RBAC or ABAC on every protected endpoint","Checking auth once at login is insufficient — check per-request"
security,dependency-scanning,warning,Package management,"Run npm audit or equivalent in CI and block on high/critical","Known CVEs in transitive deps are a common attack vector"
security,owasp-top10,info,All web code,"Review OWASP Top 10 categories during code review","OWASP Top 10 is the industry-standard threat checklist"
security,least-privilege,warning,Service accounts,"Grant the minimum permissions required, nothing more","Least privilege limits lateral movement after compromise"
security,rate-limit-auth,error,Login and signup endpoints,"Apply strict rate limits on authentication endpoints","Unlimited auth endpoints enable credential stuffing"
security,secure-cookies,error,Session cookies,"Set Secure, HttpOnly, and SameSite flags on all session cookies","These flags block common session hijacking vectors"
security,pii-logging,error,Application logs,"Never log passwords, tokens, full PANs, or unredacted PII","Logs are often replicated and retained beyond application boundaries"
